Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
ANGGARAN KOS PERKHIDMATAN PERUNDING (UKUR TANAH),,,,,,,,,,
,,,,,,,,,,
STAGE 1,,,,,PENINSULAR MALAYSIA,,SABAH/SARAWAK,,DESCRIPTION,
ITEM,DESCRIPTION OF WORKS,REFERENCE,QTY,UNIT,RATE,AMOUNT,RATE,AMOUNT,,
NO.,,TREASURY RATE,,,(RM),(RM),(RM),(RM),,
1,SITE SURVEY,,,,,,,,,
,GPS OBSERVATION,1.4,,,,,,," - Tujuan adalah untuk memberikan coordinate XYZ pada satu tempat 
- Projek luar bandar lebih memerlukan kerana range GPS lebih panjang 
- Terdapat 3 kaedah yang biasa dilaksanakan, iaitu:
- Static - 30 minit (minima) - biasa digunakan
- rapid static - 15 minit (minima)
- RTK (Real Time Kinematic) 1-30 saat
- Dicadangkan bila jauh dari permulaan atau akhir traverse, dan tiada BM lebih dari 5km
- Perlu tulis assume height
- Untuk water supply perlu actual height ",
,a. Mobilization ,1.4.1,,,,,,,,
,i. More than 50km but not exceeding 150km,1.4.1,,nos,900,0,900,0,"- 1 no (Lump sum Fixed sum /Prescribed Sum)
- Melibatkan pengunaan peralatan GPS",
,ii. More than 150 km but not exceeding 300km,1.4.1,,nos,1800,0,1800,0,,
,iii. Exceeding 300km,1.4.1,,nos,2700,0,2700,0,,
,b. Basic Charge,1.4.2,,nos,4660,0,4660,0,1 no ( Lump sum Fixed Sum / Prescribed Sum ),
,c. Point Positioning ,1.4.3,,nos,1970,0,1970,0,"- Bergantung pada panjang jalan dalam TOR JKR (Contoh: 1 km = 1 point)
- Minimum 2 points",
,c1. Monumenting Of Type 'C' Mark Of Survey Department,1.4.4,,mark,300,0,300,0,#NAME?,
,PLANIMETRIC CONTROL & CONNECTION,4.3,,,,,,,"- Di dalam TOR JKR - Closed Method digunakan
- Contoh projek: 10km 
- Jumlah km = 10km + 1km (sblm TBM / Control Point ) + 1km (selepas TBM / Control Point ) = 12km
- Jika tiada item GPS, item Planemetric Control dikira sebagai Close Loop (Pergi dan balik) 
- Oleh itu, jumlah km perlu didarab 2. Kiraan = 12km * 2 = 24km
- Kesimpulannya, close loop tidak diperlukan sekiranya keperluan GPS telah diambilkira",Close loop tak payah di laksanakan jika Traverse dpt close ke mana2 batu sempadan dengan syarat  kodinet batu sempadan / GPS GCP yg di close itu masuk menepati tikian lurus 1: 4000 or better
,a. Flat & undulating area,1.5.1,,km,2000,0,2600,0,"- RM2.00@RM2.60/m x 1000m (peninsular / sabah & sarawak) 
",
